,Downloaded,pos_x,pos_y,pos_z,cm_x,cm_y,cm_z,mass,sfr,halfmassrad,m_stars,Z_gas,m_gas
370710,0,10051.1,21072.1,9664.71,10045.7,21079.5,9694.04,27.7202,2.70296,67.6042,0.391556,0.0188457,3.45299
370928,0,32596.2,33192.1,7013.94,32590.6,33197.0,7013.85,29.8067,5.6629,49.8604,1.70247,0.0214422,2.47964
371067,0,22934.4,2391.04,8475.3,22936.9,2385.36,8475.11,29.3923,4.6172,56.9173,0.90786,0.0253796,3.28303
371330,0,31794.6,6458.64,34062.0,31791.4,6463.41,34069.2,30.9839,5.09697,62.3356,0.694427,0.0163213,3.80663
371609,0,19126.6,2172.87,27431.6,19129.1,2173.62,27436.5,32.4217,4.78162,59.6591,1.32422,0.0325462,2.25942
371831,0,25146.8,21315.2,9988.42,25144.4,21319.1,9981.31,30.8996,5.77293,59.7146,0.74262,0.0158372,3.84219
372172,0,19144.7,102.933,25986.6,19154.7,96.1257,26006.4,28.8352,3.86292,64.7371,0.357942,0.0101728,3.75045
372405,0,20607.5,19701.5,33579.6,20607.5,19701.0,33583.1,31.5628,5.72458,62.4763,0.684248,0.0164221,3.5439
372723,0,1237.67,8123.74,19723.2,1240.94,8123.14,19725.2,32.7273,7.23104,47.459,1.52382,0.0247355,2.72651
372886,0,17976.4,34115.9,28919.2,17981.5,34112.8,28921.2,26.2456,4.00999,43.575,1.25124,0.025212,2.41686
373133,0,23435.7,20242.7,4176.44,23432.4,20242.8,4176.8,26.718,8.16347,36.0306,1.11761,0.0159743,3.45293
373295,0,29174.6,33975.7,7838.23,29180.1,33985.7,7843.06,30.6408,7.041,51.9989,0.759368,0.0144124,4.32169
373518,0,1634.63,6605.3,17848.3,1634.87,6625.15,17843.6,20.346,2.66478,48.7033,0.350662,0.0119144,2.63238
373519,0,1611.5,6794.83,17794.8,1611.52,6793.63,17794.0,8.87542,2.94463,25.0988,0.422356,0.0200692,0.816117
373698,0,27333.8,34727.8,10991.0,27329.0,34724.8,10999.4,25.158,2.83707,64.3737,0.356022,0.0133507,3.43502
374020,0,6433.4,9287.59,7401.39,6437.99,9287.72,7400.79,32.6327,5.76979,65.3786,0.487538,0.0100767,3.95998
374244,0,27949.8,4590.52,4894.04,27944.5,4610.24,4870.84,12.2774,1.02467,43.973,0.139832,0.0085759,1.69691
374245,0,27898.9,4871.87,4557.9,27897.8,4874.2,4563.39,10.2633,1.76267,34.6383,0.24581,0.0178704,1.19939
374573,0,1482.95,5400.17,24121.5,1484.99,5395.72,24113.3,27.38,6.8577,53.7697,0.931833,0.0194811,3.8835
374840,0,19288.8,11264.8,2928.66,19280.7,11264.4,2932.49,32.1515,3.75587,56.5191,1.1392,0.028093,2.71061
375012,0,24309.8,6143.24,32612.2,24308.5,6144.96,32610.2,30.5496,5.20953,57.1608,1.08292,0.0239807,2.8685
375246,0,30392.2,16342.8,8192.46,30381.8,16345.5,8197.92,31.7572,6.73726,55.6102,0.659904,0.0125921,3.90519
375472,0,27390.4,13084.7,3703.05,27376.0,13081.1,3696.29,20.9883,4.51182,50.6919,0.4468,0.0127478,3.03331
375740,0,25847.1,10764.9,7504.7,25846.2,10754.4,7515.59,28.4725,5.65934,56.1024,0.683003,0.0184257,3.02125
375972,0,6506.19,7093.5,31492.1,6500.17,7092.22,31493.7,24.681,7.81757,43.1162,0.692021,0.0150919,3.56699
376216,0,111.892,19530.9,4468.28,104.353,19527.8,4461.75,30.4522,7.45772,51.1589,0.949344,0.0189185,3.85744
376409,0,1999.75,4711.96,29128.2,1999.5,4688.59,29128.8,26.6684,1.57048,69.8752,0.144702,0.00601776,3.63311
376746,0,34856.8,28442.9,22476.1,34855.4,28445.4,22472.7,26.562,6.8568,43.829,0.692825,0.0197691,3.81131
376973,0,12794.2,19094.0,24989.1,12794.9,19106.7,24981.3,27.2315,3.8254,57.2678,0.604376,0.0225797,3.40191
377413,0,8232.98,7364.86,12684.3,8236.93,7364.98,12666.4,24.7904,3.82191,53.5247,0.604511,0.020273,2.91991
377634,0,15414.5,20739.8,16472.8,15408.9,20734.9,16476.1,26.8025,9.92448,58.4786,0.893127,0.0182017,3.51283
377885,0,19782.4,3056.93,24340.2,19789.4,3055.0,24336.6,29.6315,6.30995,51.5284,0.869591,0.0142213,3.45931
378038,0,18604.0,18115.9,23285.9,18605.6,18109.9,23287.0,29.1188,6.06068,50.5396,1.09036,0.0241117,2.56152
378246,0,27010.2,11309.0,27703.4,26999.8,11282.8,27698.1,22.8772,4.40972,63.7153,0.297994,0.00983085,3.41616
378559,0,11554.0,20831.4,1159.45,11564.2,20824.5,1164.47,23.6172,5.51944,49.0185,0.286178,0.0092719,3.04729
378771,0,31591.8,14213.7,10462.3,31597.5,14212.0,10461.7,30.0422,7.39262,48.2113,0.978606,0.0181508,3.30568
378950,0,23712.1,3121.54,7959.52,23717.2,3115.56,7943.1,21.8813,4.27961,51.5989,0.408365,0.0121657,3.17873
379179,0,13985.3,1694.52,13362.8,13975.3,1703.55,13366.2,31.6311,6.30886,54.0439,1.23388,0.0224456,2.78707
379355,0,31105.6,10623.3,28182.6,31105.7,10627.5,28182.1,30.6718,4.73063,50.481,1.39743,0.0282318,2.75485
379513,0,592.912,23974.2,31995.3,597.727,23976.3,31997.7,30.7149,5.55137,45.697,1.26526,0.0340172,2.57737
379694,0,19869.3,3261.22,14400.9,19880.4,3255.97,14399.5,23.2228,2.80193,48.6246,0.822239,0.0271011,1.92813
379882,0,5554.17,24771.5,20547.3,5556.33,24767.6,20547.7,29.5266,5.16215,46.2562,1.35363,0.031194,3.10129
380042,0,27001.1,1523.85,8577.0,26998.1,1518.87,8579.84,23.9613,4.00215,41.5103,0.900924,0.0214264,3.34048
380272,0,18438.1,21858.0,24522.8,18448.6,21867.0,24525.6,22.9272,3.33855,63.5749,0.388395,0.0131541,3.51309
380541,0,30425.1,5140.1,29199.0,30428.7,5146.8,29203.3,28.615,8.78724,50.8493,0.898878,0.0177791,3.23557
380720,0,24759.6,3615.72,19264.5,24778.8,3613.0,19277.5,29.1289,5.34666,62.3189,0.409557,0.0136956,3.37824
380974,0,31252.0,26138.8,23251.8,31251.9,26131.3,23253.0,28.8422,6.8999,55.9564,0.633428,0.0123364,3.71828
381185,0,8716.62,29647.9,21059.9,8718.38,29649.0,21058.5,31.2599,4.09405,45.0635,1.61936,0.0293613,2.12105
381289,0,16039.7,31924.9,24822.7,16050.9,31935.1,24824.2,27.785,2.79808,72.1151,0.555406,0.0189081,3.4171
381499,0,14965.2,17023.3,7401.61,14943.1,17026.6,7396.91,26.3782,3.89245,63.7153,0.500483,0.0200013,3.15432
381764,0,23223.7,5164.77,1867.57,23221.9,5164.77,1866.3,29.4305,6.18601,56.6069,1.13893,0.0240388,2.48709
381905,0,30024.8,33028.1,7879.03,30022.0,33029.0,7878.82,28.8616,4.34859,49.1378,1.38995,0.0296974,2.52654
382081,0,19389.3,21910.3,22727.5,19393.0,21924.6,22733.6,28.219,3.17962,58.893,0.626133,0.028136,2.90784
382259,0,23843.4,28466.4,4349.74,23843.6,28477.0,4359.81,18.6731,4.44674,48.6129,0.274904,0.00837551,2.62685
382535,0,18436.9,18594.4,18929.9,18441.3,18590.6,18926.3,28.2702,7.00838,55.2751,0.561252,0.0151236,3.79739
382756,0,22537.5,17566.8,20625.5,22528.6,17568.7,20619.7,27.9188,3.8349,63.5608,0.574696,0.0182365,3.15026
383016,0,1028.99,26319.7,24212.9,1030.28,26321.6,24210.1,26.7947,5.17992,55.5112,0.615541,0.0193598,3.68308
